Cell,EW,NS,Trials,Presences
9211,567500,9762500,3,0
9220,612500,9762500,2,0
9234,682500,9762500,1,0
9235,687500,9762500,5,0
9236,692500,9762500,2,0
9237,697500,9762500,14,0
9238,702500,9762500,65,0
9276,347500,9767500,10,0
9319,562500,9767500,6,1
9342,677500,9767500,10,0
9344,687500,9767500,1,0
9345,692500,9767500,8,0
9346,697500,9767500,6,0
9347,702500,9767500,4,0
9351,722500,9767500,6,0
9356,747500,9767500,10,0
9427,557500,9772500,11,0
9428,562500,9772500,1,1
9503,392500,9777500,10,0
9536,557500,9777500,7,0
9537,562500,9777500,1,0
9601,337500,9782500,10,0
9617,417500,9782500,10,0
9645,557500,9782500,3,0
9646,562500,9782500,2,0
9703,302500,9787500,10,0
9737,472500,9787500,10,0
9743,502500,9787500,10,0
9754,557500,9787500,4,0
9860,542500,9792500,6,0
9861,547500,9792500,5,2
9862,552500,9792500,3,0
9863,557500,9792500,4,0
9864,562500,9792500,7,1
9871,597500,9792500,1,0
9872,602500,9792500,4,0
9874,612500,9792500,6,1
9875,617500,9792500,1,0
9897,727500,9792500,6,0
9907,777500,9792500,10,0
9921,302500,9797500,10,0
9932,357500,9797500,10,0
9951,452500,9797500,10,0
9960,497500,9797500,4,0
9961,502500,9797500,5,0
9962,507500,9797500,3,0
9968,537500,9797500,6,0
9969,542500,9797500,1,0
9971,552500,9797500,8,1
9973,562500,9797500,10,1
9974,567500,9797500,23,2
9975,572500,9797500,7,1
9976,577500,9797500,1,0
9981,602500,9797500,2,0
9982,607500,9797500,19,0
9983,612500,9797500,13,1
9984,617500,9797500,5,1
10040,352500,9802500,10,0
10054,422500,9802500,10,0
10067,487500,9802500,10,0
10070,502500,9802500,30,0
10071,507500,9802500,16,2
10073,517500,9802500,5,0
10074,522500,9802500,10,4
10075,527500,9802500,4,0
10076,532500,9802500,15,0
10077,537500,9802500,18,2
10078,542500,9802500,7,1
10079,547500,9802500,10,1
10081,557500,9802500,15,2
10082,562500,9802500,14,2
10083,567500,9802500,11,1
10084,572500,9802500,4,1
10085,577500,9802500,2,0
10091,607500,9802500,3,0
10092,612500,9802500,10,2
10093,617500,9802500,19,1
10094,622500,9802500,6,0
10095,627500,9802500,2,0
10164,427500,9807500,10,0
10174,477500,9807500,10,0
10179,502500,9807500,43,5
10180,507500,9807500,9,2
10181,512500,9807500,1,0
10183,522500,9807500,8,1
10184,527500,9807500,11,2
10185,532500,9807500,4,1
10186,537500,9807500,5,0
10187,542500,9807500,1,0
10188,547500,9807500,5,0
10191,562500,9807500,10,1
10202,617500,9807500,16,0
10203,622500,9807500,2,0
10204,627500,9807500,4,0
10225,732500,9807500,6,0
10282,472500,9812500,10,0
10288,502500,9812500,9,0
10289,507500,9812500,38,3
10292,522500,9812500,7,0
10293,527500,9812500,5,0
10294,532500,9812500,2,0
10295,537500,9812500,5,0
10296,542500,9812500,4,0
10297,547500,9812500,2,1
10299,557500,9812500,11,3
10314,632500,9812500,10,0
10330,712500,9812500,6,0
10397,502500,9817500,9,0
10398,507500,9817500,5,0
10399,512500,9817500,19,0
10400,517500,9817500,11,0
10401,522500,9817500,10,0
10402,527500,9817500,8,0
10403,532500,9817500,11,0
10404,537500,9817500,16,2
10405,542500,9817500,13,4
10406,547500,9817500,10,3
10407,552500,9817500,7,0
10408,557500,9817500,5,1
10451,772500,9817500,10,0
10465,297500,9822500,10,0
10506,502500,9822500,3,0
10507,507500,9822500,5,0
10508,512500,9822500,3,0
10509,517500,9822500,12,0
10510,522500,9822500,8,0
10511,527500,9822500,7,0
10512,532500,9822500,9,0
10513,537500,9822500,9,2
10514,542500,9822500,14,4
10515,547500,9822500,16,8
10552,732500,9822500,100,0
10553,737500,9822500,100,0
10595,402500,9827500,10,0
10616,507500,9827500,1,0
10617,512500,9827500,3,0
10618,517500,9827500,15,4
10619,522500,9827500,4,1
10624,547500,9827500,1,0
10625,552500,9827500,5,4
10639,622500,9827500,10,0
10661,732500,9827500,6,0
10662,737500,9827500,13,0
10664,747500,9827500,15,0
10665,752500,9827500,100,0
10666,757500,9827500,100,0
10696,362500,9832500,10,0
10716,462500,9832500,10,0
10726,512500,9832500,16,0
10727,517500,9832500,27,4
10729,527500,9832500,2,0
10730,532500,9832500,7,4
10766,712500,9832500,6,0
10773,747500,9832500,2,0
10774,752500,9832500,72,0
10775,757500,9832500,100,0
10776,762500,9832500,100,0
10777,767500,9832500,52,0
10778,772500,9832500,1,0
10834,507500,9837500,1,0
10835,512500,9837500,8,0
10836,517500,9837500,18,3
10837,522500,9837500,1,0
10838,527500,9837500,6,2
10884,757500,9837500,20,0
10885,762500,9837500,100,0
10886,767500,9837500,100,0
10887,772500,9837500,56,0
10942,502500,9842500,5,0
10945,517500,9842500,5,0
10946,522500,9842500,15,2
10947,527500,9842500,12,2
10991,747500,9842500,10,0
10993,757500,9842500,86,0
10994,762500,9842500,100,0
10995,767500,9842500,100,0
10996,772500,9842500,100,0
10997,777500,9842500,25,0
11022,357500,9847500,10,0
11028,387500,9847500,10,0
11033,412500,9847500,10,0
11051,502500,9847500,1,0
11055,522500,9847500,16,2
11056,527500,9847500,3,1
11057,532500,9847500,3,0
11086,677500,9847500,10,0
11103,762500,9847500,2,0
11104,767500,9847500,100,0
11105,772500,9847500,100,0
11106,777500,9847500,100,0
11107,782500,9847500,64,0
11108,787500,9847500,15,0
11122,312500,9852500,10,0
11161,507500,9852500,8,1
11162,512500,9852500,6,0
11164,522500,9852500,7,0
11165,527500,9852500,2,0
11199,697500,9852500,10,0
11212,762500,9852500,100,0
11214,772500,9852500,48,0
11215,777500,9852500,100,0
11216,782500,9852500,100,0
11217,787500,9852500,100,0
11272,517500,9857500,9,4
11273,522500,9857500,5,2
11285,582500,9857500,10,0
11287,592500,9857500,10,0
11381,517500,9862500,6,4
11428,752500,9862500,61,0
11429,757500,9862500,1,0
11430,762500,9862500,4,0
11431,767500,9862500,3,0
11475,442500,9867500,10,0
11483,482500,9867500,1,0
11485,492500,9867500,3,0
11537,752500,9867500,47,0
11538,757500,9867500,100,0
11592,482500,9872500,13,2
11593,487500,9872500,25,7
11594,492500,9872500,13,0
11605,547500,9872500,10,0
11636,702500,9872500,6,0
11647,757500,9872500,1,0
11701,482500,9877500,15,0
11702,487500,9877500,15,0
11703,492500,9877500,8,0
11757,762500,9877500,4,0
11802,442500,9882500,10,0
11866,762500,9882500,18,0
11904,407500,9887500,10,0
11927,522500,9887500,1,0
11928,527500,9887500,10,0
11960,687500,9887500,10,0
11965,712500,9887500,10,0
11975,762500,9887500,100,0
12033,507500,9892500,4,0
